"key","KZ","RU","EN"
"KZ","Қазақша","Казахский","Kazakh"
"RU","Орысша","Русский","Russian"
"EN","Ағылшынша","Английский","English"
"main","Басты бет","Главная","Home"
"about_us","Біз туралы ақпарат","О нас","About us"
"catalog_of_enterprises","Объектілер каталогы","Каталог объектов","Catalog of enterprises"
"media_space","Медиа кеңістігі","Медиа пространство","Media space"
"nop","Ұлттық жекешелендіру кеңсесі","Национальный офис приватизации","National Office of Privatization"
"phone_number","Телефон нөмірі","Номер телефона","Phone number"
"email","Электрондық пошта","Электронная почта","E-mail"
"welcome_text","Кәсіпкердің жекешелендіруге өтініші","Заявка на приватизацию от предпринимателя","Application for privatization from an entrepreneur"
"submit_application","Өтініш жіберу","Оставить заявку","Submit application"
"news","Жаңалықтар","Новости","News"
"office_mission","Кеңсе миссиясы","Миссия офиса","Office mission"
"enterprises_by_regions","Аймақ бойынша объектілер","Объекты по регионам","Enterprises by regions"
"almaty_city","Алматы қаласы","Город Алматы","Almaty city"
"astana_city","Астана қаласы","Город Астана","Astana city"
"shymkent_city","Шымкент қаласы","Город Шымкент","Shymkent city"
"abai","Абай облысы","Абайская область","Abai Region"
"aqmola","Ақмола облысы","Акмолинская область","Akmola Region"
"aqtobe","Ақтөбе облысы","Актюбинская область","Aktobe Region"
"almaty","Алматы облысы","Алматинская область","Almaty Region"
"atyrau","Атырау облысы","Атырауская область","Atyrau Region"
"bqo","Батыс Қазақстан облысы","Западно-Казахстанская область","West Kazakhstan Region"
"jambyl","Жамбыл облысы","Жамбылская область","Jambyl Region"
"jetisu","Жетісу облысы","Жетысуская область","Jetisu Region"
"qaragandy","Қарағанды облысы","Карагандинская область","Karaganda Region"
"qostanai","Қостанай облысы","Костанайская область","Kostanay Region"
"qyzylorda","Қызылорда облысы","Кызылординская область","Kyzylorda Region"
"mangystau","Маңғыстау облысы","Мангистауская область","Mangystau Region"
"pavlodar","Павлодар облысы","Павлодарская область","Pavlodar Region"
"sqo","Солтүстік Қазақстан облысы","Северо-Казахстанская область","North Kazakhstan Region"
"turkistan","Түркістан облысы","Туркестанская область","Turkistan Region"
"ulytau","Ұлытау облысы","Улытауская область","Ulytau Region"
"shqo","Шығыс Қазақстан облысы","Восточно-Казахстанская область","East Kazakhstan Region"
"almaty_city_desc","Қазақстанның оңтүстік-шығысында орналасқан Алматы – елдің ең ірі қаласы және қаржы орталығы. Қала әсем таулармен қоршалған, бұл оны туристер үшін танымал орынға айналдырады. Алматы дамыған инфрақұрылымымен, білім беру және мәдениет мекемелерімен, сондай-ақ белсенді бизнес ортасымен танымал. Мұнда тамақ, жеңіл өнеркәсіп және IT секторлары да дамыған.","Расположенный на юго-востоке Казахстана, Алматы является крупнейшим городом страны и финансовым центром. Город окружен живописными горами, что делает его популярным туристическим направлением. Алматы славится развитой инфраструктурой, образовательными и культурными учреждениями, а также активной деловой средой. Здесь также развита пищевая, легкая промышленность и IT-сектор.","Situated in the southeast of Kazakhstan, Almaty is the country's largest city and financial centre. The city is surrounded by picturesque mountains, making it a popular tourist destination. Almaty is famous for its developed infrastructure, educational and cultural institutions, and an active business environment. The food, light industry, and IT sector are also developed here."
"astana_city_desc","Қазақстанның астанасы Астана (қазіргі Нұр-Сұлтан) еліміздің солтүстік бөлігінде орналасқан. Қала заманауи сәулетімен танымал және Қазақстанның саяси және әкімшілік орталығы болып табылады. Астана құрылыс индустриясы, қаржы секторы және IT индустриясы дамыған бизнес хаб ретінде белсенді дамып келеді. Қала сонымен қатар негізгі көлік торабы болып табылады.","Столица Казахстана, Астана (сейчас Нур-Султан), расположена в северной части страны. Город известен своей современной архитектурой и является политическим и административным центром Казахстана. Астана активно развивается как бизнес-хаб с развитой строительной отраслью, финансовым сектором и IT-индустрией. Город также является крупным транспортным узлом.","The capital of Kazakhstan, Astana (now Nur-Sultan), is located in the northern part of the country. The city is known for its modern architecture and is the political and administrative centre of Kazakhstan. Astana is actively developing as a business hub with a developed construction industry, financial sector, and IT industry. The city is also a major transport hub."
"shymkent_city_desc","Қазақстанның үшінші ірі қаласы Шымкент еліміздің оңтүстігінде орналасқан және маңызды өнеркәсіптік және сауда орталығы болып табылады. Қала дамыған ауыл шаруашылығымен, атап айтқанда мақта шаруашылығымен, сондай-ақ машина жасау және химия өнеркәсібімен танымал. Шымкент оңтүстік өңірдің мәдени-ағарту орталығы ретінде қарқынды дамып келеді.","Третий по величине город Казахстана, Шымкент находится на юге страны и является важным промышленным и торговым центром. Город известен развитым сельским хозяйством, в частности, выращиванием хлопка, а также машиностроением и химической промышленностью. Шымкент активно развивается как культурный и образовательный центр южного региона.","The third largest city in Kazakhstan, Shymkent is located in the south of the country and is an important industrial and commercial centre. The city is known for its developed agriculture, in particular, cotton cultivation, as well as mechanical engineering and chemical industries. Shymkent is actively developing as a cultural and educational centre of the southern region."
"abai_desc","Шығыс Қазақстанда орналасқан Абай ауданы өзінің көмір және кен қорымен, сондай-ақ дамыған тау-кен және металлургиялық өнеркәсіптерімен танымал. Өңірде мал шаруашылығы мен егін шаруашылығы да қарқынды дамып келеді.","Расположенная на востоке Казахстана, Абайская область известна своими запасами угля и руд, а также развитыми горнодобывающей и металлургической отраслями. В регионе также активно развиваются животноводство и сельское хозяйство.","Located in the east of Kazakhstan, the Abay region is known for its coal and ore reserves, as well as developed mining and metallurgy industries. Livestock farming and agriculture are also actively developing in the region."
