"key","KZ","RU","EN"
"unknown_error","Белгісіз қате","Неизвестная ошибка","Unknown error"
"invalid_primary_contact","Жарамсыз контакт","Неверный контакт","Invalid contact"
"invalid_secondary_contact","Жарамсыз қосымша контакт","Неверный дополнительный контакт","Invalid secondary contact"
"unauthorized","Құқықсыз","Неавторизованный","Unauthorized"
"empty_password","Пароль бос","Пароль пуст","Password is empty"
"password_too_short","Пароль қысқа","Пароль слишком короткий","Password is too short"
"password_too_long","Пароль ұзын","Пароль слишком длинный","Password is too long"
"invalid_user_role","Жарамсыз пайдаланушы рөлі","Неверная роль пользователя","Invalid user role"
"invalid_user_first_name","Жарамсыз пайдаланушы аты","Неверное имя пользователя","Invalid user first name"
"invalid_user_last_name","Жарамсыз пайдаланушы тегі","Неверная фамилия пользователя","Invalid user last name"
"invalid_user_login","Жарамсыз пайдаланушы логині","Неверный логин пользователя","Invalid user login"
"user_not_found","Пайдаланушы табылмады","Пользователь не найден","User not found"
"user_already_exists_with_this_login","Пайдаланушы бұл логинмен бар","Пользователь с таким логином уже существует","User already exists with this login"
"user_agent_empty","User-Agent бос","User-Agent пуст","User-Agent is empty"
"invalid_user_password","Жарамсыз пайдаланушы паролі","Неверный пароль пользователя","Invalid user password"
"invalid_partner_name","Жарамсыз партнер аты","Неверное имя партнера","Invalid partner name"
"invalid_partner_link","Жарамсыз партнер сілтемесі","Неверная ссылка партнера","Invalid partner link"
"invalid_document_filename","Жарамсыз документ файл аты","Неверное имя файла документа","Invalid document file name"
"invalid_document_title","Жарамсыз документ атауы","Неверное название документа","Invalid document title"
"invalid_npa_filename","Жарамсыз НПА файл аты","Неверное имя файла НПА","Invalid NPA file name"
"invalid_npa_title","Жарамсыз НПА атауы","Неверное название НПА","Invalid NPA title"
"invalid_news_title","Жарамсыз жаңалық атауы","Неверное название новости","Invalid news title"
"invalid_news_content","Жарамсыз жаңалық мазмұны","Неверное содержание новости","Invalid news content"
"invalid_enterprise_name","Жарамсыз кәсіпорын атауы","Неверное название предприятия","Invalid enterprise name"
"invalid_enterprise_location","Жарамсыз кәсіпорын орналасуы","Неверное местоположение предприятия","Invalid enterprise location"
"invalid_enterprise_gov_share","Жарамсыз кәсіпорын державалық пайы","Неверная государственная доля предприятия","Invalid enterprise government share"
"invalid_enterprise_industry","Жарамсыз кәсіпорын саласы","Неверная отрасль предприятия","Invalid enterprise industry"
"invalid_event_name","Жарамсыз іс атауы","Неверное название события","Invalid event name"
"invalid_application_enterprise","Жарамсыз өтініш кәсіпорын","Неверное предприятие заявки","Invalid application enterprise"
"invalid_application_fio","Жарамсыз өтініш аты","Неверное ФИО заявки","Invalid application FIO"
"invalid_application_bin","Жарамсыз өтініш БИН","Неверный БИН заявки","Invalid application BIN"
"invalid_application_contact","Жарамсыз өтініш контакт","Неверный контакт заявки","Invalid application contact"
"invalid_application_message","Жарамсыз өтініш хабарлама","Неверное сообщение заявки","Invalid application message"
"max_file_size_is_1mb","Файл 1 МБ-дан асады","Файл не должен превышать 1 МБ","File should not exceed 1 MB"
"wrong_mlstring_format","Жарамсыз MLString пішімі","Неверный формат MLString","Invalid MLString format"
"invalid_email","Жарамсыз email","Неверный email","Invalid email"
"uuid_invalid_length","UUID ұзындығы жарамсыз","Неверная длина UUID","Invalid UUID length"
